Airfoil,Re,Alpha,CL,CD,CDp,CM,Xtr_top,Xtr_bottom
naca2412,30000.00000000001,-19.0,-0.4249,0.20192,0.19269,0.0029,1.0,0.186
naca2412,30000.00000000001,-18.0,-0.4059,0.1924,0.18311,-0.0007,1.0,0.2041
naca2412,30000.00000000001,-17.0,-0.3884,0.18349,0.17415,-0.0039,1.0,0.2233
naca2412,30000.00000000001,-16.0,-0.3831,0.17878,0.1694,-0.0068,1.0,0.2456
naca2412,30000.00000000001,-15.0,-0.3567,0.16636,0.15697,-0.009,1.0,0.2697
naca2412,30000.00000000001,-11.0,-0.297,0.12932,0.11993,-0.0107,1.0,0.4234
naca2412,30000.00000000001,-7.0,-0.2692,0.08339,0.0734,0.0061,1.0,0.7291
naca2412,30000.00000000001,-5.0,-0.4903,0.04457,0.03431,-0.0228,1.0,0.3074
naca2412,30000.00000000001,-4.0,-0.4182,0.03554,0.0246,-0.0191,1.0,0.3863
naca2412,30000.00000000001,-1.0,-0.115,0.0261,0.0143,-0.0163,1.0,1.0
naca2412,30000.00000000001,0.0,-0.0555,0.02786,0.0152,-0.0138,1.0,1.0
naca2412,30000.00000000001,1.0,0.0082,0.0307,0.01749,-0.0131,1.0,1.0
naca2412,30000.00000000001,2.0,0.0717,0.03454,0.021,-0.0137,1.0,1.0
naca2412,30000.00000000001,3.0,0.1389,0.03952,0.02585,-0.0163,0.9971,1.0
naca2412,30000.00000000001,4.0,0.3125,0.04843,0.03495,-0.038,0.9149,1.0
naca2412,30000.00000000001,5.0,0.4363,0.05628,0.04318,-0.0482,0.8345,1.0
naca2412,30000.00000000001,6.0,0.5561,0.06424,0.05171,-0.0546,0.7457,1.0
naca2412,30000.00000000001,7.0,0.6288,0.07261,0.06065,-0.0537,0.6533,1.0
naca2412,30000.00000000001,8.0,0.7132,0.08059,0.06933,-0.0501,0.5444,1.0
naca2412,30000.00000000001,11.0,0.7235,0.13042,0.11988,-0.0513,0.3968,1.0
naca2412,30000.00000000001,13.0,0.7094,0.16718,0.15682,-0.0662,0.4548,1.0
naca2412,30000.00000000001,14.0,0.7387,0.18194,0.1717,-0.0691,0.4136,1.0
naca2412,30000.00000000001,15.0,0.7705,0.19599,0.18584,-0.0725,0.373,1.0
naca2412,30000.00000000001,16.0,0.815,0.21411,0.20411,-0.0763,0.3377,1.0
naca2412,30000.00000000001,17.0,0.8447,0.22727,0.21731,-0.0811,0.3064,1.0
naca2412,30000.00000000001,18.0,0.8658,0.23619,0.22625,-0.0875,0.2788,1.0
naca2412,30000.00000000001,19.0,0.897,0.24882,0.23891,-0.094,0.2546,1.0
naca2412,30000.00000000001,21.0,0.9663,0.27617,0.26642,-0.1076,0.2118,1.0
naca2412,30000.00000000001,22.0,0.9945,0.28551,0.27581,-0.1162,0.1924,1.0
naca2412,30000.00000000001,23.0,1.0265,0.29729,0.28767,-0.1245,0.1764,1.0
naca2412,30000.00000000001,24.0,1.0582,0.30885,0.29932,-0.1331,0.1612,1.0
naca2412,30000.00000000001,25.0,1.0894,0.32059,0.31115,-0.142,0.1494,1.0
naca2412,30000.00000000001,26.0,1.1211,0.33334,0.324,-0.1508,0.1377,1.0
naca2412,30000.00000000001,27.0,1.1579,0.35485,0.34568,-0.1576,0.1258,1.0
naca2412,30000.00000000001,28.0,1.1784,0.35314,0.34403,-0.1705,0.1163,1.0
naca2412,30000.00000000001,29.0,1.2059,0.36394,0.35495,-0.1806,0.1094,1.0
naca2412,30000.00000000001,30.0,1.2356,0.37922,0.37044,-0.1889,0.1001,1.0
naca2412,30702.342063163593,-19.0,-0.4249,0.20192,0.19269,0.0029,1.0,0.186
naca2412,30702.342063163593,-18.0,-0.4059,0.1924,0.18311,-0.0007,1.0,0.2041
naca2412,30702.342063163593,-17.0,-0.3884,0.18349,0.17415,-0.0039,1.0,0.2233
naca2412,30702.342063163593,-16.0,-0.3831,0.17878,0.1694,-0.0068,1.0,0.2456
naca2412,30702.342063163593,-15.0,-0.3567,0.16636,0.15697,-0.009,1.0,0.2697
naca2412,30702.342063163593,-11.0,-0.297,0.12932,0.11993,-0.0107,1.0,0.4234
naca2412,30702.342063163593,-7.0,-0.2692,0.08339,0.0734,0.0061,1.0,0.7291
naca2412,30702.342063163593,-5.0,-0.4903,0.04457,0.03431,-0.0228,1.0,0.3074
naca2412,30702.342063163593,-4.0,-0.4182,0.03554,0.0246,-0.0191,1.0,0.3863
naca2412,30702.342063163593,-1.0,-0.115,0.0261,0.0143,-0.0163,1.0,1.0
naca2412,30702.342063163593,0.0,-0.0555,0.02786,0.0152,-0.0138,1.0,1.0
naca2412,30702.342063163593,1.0,0.0082,0.0307,0.01749,-0.0131,1.0,1.0
naca2412,30702.342063163593,2.0,0.0717,0.03454,0.021,-0.0137,1.0,1.0
naca2412,30702.342063163593,3.0,0.1389,0.03952,0.02585,-0.0163,0.9971,1.0
naca2412,30702.342063163593,4.0,0.3125,0.04843,0.03495,-0.038,0.9149,1.0
naca2412,30702.342063163593,5.0,0.4363,0.05628,0.04318,-0.0482,0.8345,1.0
naca2412,30702.342063163593,6.0,0.5561,0.06424,0.05171,-0.0546,0.7457,1.0
naca2412,30702.342063163593,7.0,0.6288,0.07261,0.06065,-0.0537,0.6533,1.0
naca2412,30702.342063163593,8.0,0.7132,0.08059,0.06933,-0.0501,0.5444,1.0
naca2412,30702.342063163593,11.0,0.7235,0.13042,0.11988,-0.0513,0.3968,1.0
naca2412,30702.342063163593,13.0,0.7094,0.16718,0.15682,-0.0662,0.4548,1.0
naca2412,30702.342063163593,14.0,0.7387,0.18194,0.1717,-0.0691,0.4136,1.0
naca2412,30702.342063163593,15.0,0.7705,0.19599,0.18584,-0.0725,0.373,1.0
naca2412,30702.342063163593,16.0,0.815,0.21411,0.20411,-0.0763,0.3377,1.0
naca2412,30702.342063163593,17.0,0.8447,0.22727,0.21731,-0.0811,0.3064,1.0
naca2412,30702.342063163593,18.0,0.8658,0.23619,0.22625,-0.0875,0.2788,1.0
naca2412,30702.342063163593,19.0,0.897,0.24882,0.23891,-0.094,0.2546,1.0
naca2412,30702.342063163593,21.0,0.9663,0.27617,0.26642,-0.1076,0.2118,1.0
naca2412,30702.342063163593,22.0,0.9945,0.28551,0.27581,-0.1162,0.1924,1.0
naca2412,30702.342063163593,23.0,1.0265,0.29729,0.28767,-0.1245,0.1764,1.0
naca2412,30702.342063163593,24.0,1.0582,0.30885,0.29932,-0.1331,0.1612,1.0
naca2412,30702.342063163593,25.0,1.0894,0.32059,0.31115,-0.142,0.1494,1.0
naca2412,30702.342063163593,26.0,1.1211,0.33334,0.324,-0.1508,0.1377,1.0
naca2412,30702.342063163593,27.0,1.1579,0.35485,0.34568,-0.1576,0.1258,1.0
naca2412,30702.342063163593,28.0,1.1784,0.35314,0.34403,-0.1705,0.1163,1.0
naca2412,30702.342063163593,29.0,1.2059,0.36394,0.35495,-0.1806,0.1094,1.0
naca2412,30702.342063163593,30.0,1.2356,0.37922,0.37044,-0.1889,0.1001,1.0
naca2412,31421.126938783473,-19.0,-0.4249,0.20192,0.19269,0.0029,1.0,0.186
naca2412,31421.126938783473,-18.0,-0.4059,0.1924,0.18311,-0.0007,1.0,0.2041
naca2412,31421.126938783473,-17.0,-0.3884,0.18349,0.17415,-0.0039,1.0,0.2233
naca2412,31421.126938783473,-16.0,-0.3831,0.17878,0.1694,-0.0068,1.0,0.2456
naca2412,31421.126938783473,-15.0,-0.3567,0.16636,0.15697,-0.009,1.0,0.2697
naca2412,31421.126938783473,-11.0,-0.297,0.12932,0.11993,-0.0107,1.0,0.4234
naca2412,31421.126938783473,-7.0,-0.2692,0.08339,0.0734,0.0061,1.0,0.7291
naca2412,31421.126938783473,-5.0,-0.4903,0.04457,0.03431,-0.0228,1.0,0.3074
naca2412,31421.126938783473,-4.0,-0.4182,0.03554,0.0246,-0.0191,1.0,0.3863
naca2412,31421.126938783473,-1.0,-0.115,0.0261,0.0143,-0.0163,1.0,1.0
naca2412,31421.126938783473,0.0,-0.0555,0.02786,0.0152,-0.0138,1.0,1.0
naca2412,31421.126938783473,1.0,0.0082,0.0307,0.01749,-0.0131,1.0,1.0
naca2412,31421.126938783473,2.0,0.0717,0.03454,0.021,-0.0137,1.0,1.0
naca2412,31421.126938783473,3.0,0.1389,0.03952,0.02585,-0.0163,0.9971,1.0
naca2412,31421.126938783473,4.0,0.3125,0.04843,0.03495,-0.038,0.9149,1.0
naca2412,31421.126938783473,5.0,0.4363,0.05628,0.04318,-0.0482,0.8345,1.0
naca2412,31421.126938783473,6.0,0.5561,0.06424,0.05171,-0.0546,0.7457,1.0
naca2412,31421.126938783473,7.0,0.6288,0.07261,0.06065,-0.0537,0.6533,1.0
naca2412,31421.126938783473,8.0,0.7132,0.08059,0.06933,-0.0501,0.5444,1.0
naca2412,31421.126938783473,11.0,0.7235,0.13042,0.11988,-0.0513,0.3968,1.0
naca2412,31421.126938783473,13.0,0.7094,0.16718,0.15682,-0.0662,0.4548,1.0
naca2412,31421.126938783473,14.0,0.7387,0.18194,0.1717,-0.0691,0.4136,1.0
naca2412,31421.126938783473,15.0,0.7705,0.19599,0.18584,-0.0725,0.373,1.0
naca2412,31421.126938783473,16.0,0.815,0.21411,0.20411,-0.0763,0.3377,1.0
naca2412,31421.126938783473,17.0,0.8447,0.22727,0.21731,-0.0811,0.3064,1.0
naca2412,31421.126938783473,18.0,0.8658,0.23619,0.22625,-0.0875,0.2788,1.0
naca2412,31421.126938783473,19.0,0.897,0.24882,0.23891,-0.094,0.2546,1.0
naca2412,31421.126938783473,21.0,0.9663,0.27617,0.26642,-0.1076,0.2118,1.0
naca2412,31421.126938783473,22.0,0.9945,0.28551,0.27581,-0.1162,0.1924,1.0
naca2412,31421.126938783473,23.0,1.0265,0.29729,0.28767,-0.1245,0.1764,1.0
naca2412,31421.126938783473,24.0,1.0582,0.30885,0.29932,-0.1331,0.1612,1.0
naca2412,31421.126938783473,25.0,1.0894,0.32059,0.31115,-0.142,0.1494,1.0
naca2412,31421.126938783473,26.0,1.1211,0.33334,0.324,-0.1508,0.1377,1.0
naca2412,31421.126938783473,27.0,1.1579,0.35485,0.34568,-0.1576,0.1258,1.0
naca2412,31421.126938783473,28.0,1.1784,0.35314,0.34403,-0.1705,0.1163,1.0
naca2412,31421.126938783473,29.0,1.2059,0.36394,0.35495,-0.1806,0.1094,1.0
naca2412,31421.126938783473,30.0,1.2356,0.37922,0.37044,-0.1889,0.1001,1.0
naca2412,32156.739576153872,-19.0,-0.4249,0.20192,0.19269,0.0029,1.0,0.186
naca2412,32156.739576153872,-18.0,-0.4059,0.1924,0.18311,-0.0007,1.0,0.2041
naca2412,32156.739576153872,-17.0,-0.3884,0.18349,0.17415,-0.0039,1.0,0.2233
naca2412,32156.739576153872,-16.0,-0.3831,0.17878,0.1694,-0.0068,1.0,0.2456
naca2412,32156.739576153872,-15.0,-0.3567,0.16636,0.15697,-0.009,1.0,0.2697
naca2412,32156.739576153872,-11.0,-0.297,0.12932,0.11993,-0.0107,1.0,0.4234
naca2412,32156.739576153872,-7.0,-0.2692,0.08339,0.0734,0.0061,1.0,0.7291
naca2412,32156.739576153872,-5.0,-0.4903,0.04457,0.03431,-0.0228,1.0,0.3074
naca2412,32156.739576153872,-4.0,-0.4182,0.03554,0.0246,-0.0191,1.0,0.3863
naca2412,32156.739576153872,-1.0,-0.115,0.0261,0.0143,-0.0163,1.0,1.0
naca2412,32156.739576153872,0.0,-0.0555,0.02786,0.0152,-0.0138,1.0,1.0
naca2412,32156.739576153872,1.0,0.0082,0.0307,0.01749,-0.0131,1.0,1.0
naca2412,32156.739576153872,2.0,0.0717,0.03454,0.021,-0.0137,1.0,1.0
naca2412,32156.739576153872,3.0,0.1389,0.03952,0.02585,-0.0163,0.9971,1.0
naca2412,32156.739576153872,4.0,0.3125,0.04843,0.03495,-0.038,0.9149,1.0
naca2412,32156.739576153872,5.0,0.4363,0.05628,0.04318,-0.0482,0.8345,1.0
naca2412,32156.739576153872,6.0,0.5561,0.06424,0.05171,-0.0546,0.7457,1.0
naca2412,32156.739576153872,7.0,0.6288,0.07261,0.06065,-0.0537,0.6533,1.0
naca2412,32156.739576153872,8.0,0.7132,0.08059,0.06933,-0.0501,0.5444,1.0
naca2412,32156.739576153872,11.0,0.7235,0.13042,0.11988,-0.0513,0.3968,1.0
naca2412,32156.739576153872,13.0,0.7094,0.16718,0.15682,-0.0662,0.4548,1.0
naca2412,32156.739576153872,14.0,0.7387,0.18194,0.1717,-0.0691,0.4136,1.0
naca2412,32156.739576153872,15.0,0.7705,0.19599,0.18584,-0.0725,0.373,1.0
naca2412,32156.739576153872,16.0,0.815,0.21411,0.20411,-0.0763,0.3377,1.0
naca2412,32156.739576153872,17.0,0.8447,0.22727,0.21731,-0.0811,0.3064,1.0
naca2412,32156.739576153872,18.0,0.8658,0.23619,0.22625,-0.0875,0.2788,1.0
naca2412,32156.739576153872,19.0,0.897,0.24882,0.23891,-0.094,0.2546,1.0
naca2412,32156.739576153872,21.0,0.9663,0.27617,0.26642,-0.1076,0.2118,1.0
naca2412,32156.739576153872,22.0,0.9945,0.28551,0.27581,-0.1162,0.1924,1.0
naca2412,32156.739576153872,23.0,1.0265,0.29729,0.28767,-0.1245,0.1764,1.0
naca2412,32156.739576153872,24.0,1.0582,0.30885,0.29932,-0.1331,0.1612,1.0
naca2412,32156.739576153872,25.0,1.0894,0.32059,0.31115,-0.142,0.1494,1.0
naca2412,32156.739576153872,26.0,1.1211,0.33334,0.324,-0.1508,0.1377,1.0
naca2412,32156.739576153872,27.0,1.1579,0.35485,0.34568,-0.1576,0.1258,1.0
naca2412,32156.739576153872,28.0,1.1784,0.35314,0.34403,-0.1705,0.1163,1.0
naca2412,32156.739576153872,29.0,1.2059,0.36394,0.35495,-0.1806,0.1094,1.0
naca2412,32156.739576153872,30.0,1.2356,0.37922,0.37044,-0.1889,0.1001,1.0
naca2412,32909.573936771536,-19.0,-0.4249,0.20192,0.19269,0.0029,1.0,0.186
naca2412,32909.573936771536,-18.0,-0.4059,0.1924,0.18311,-0.0007,1.0,0.2041
naca2412,32909.573936771536,-17.0,-0.3884,0.18349,0.17415,-0.0039,1.0,0.2233
naca2412,32909.573936771536,-16.0,-0.3831,0.17878,0.1694,-0.0068,1.0,0.2456
naca2412,32909.573936771536,-15.0,-0.3567,0.16636,0.15697,-0.009,1.0,0.2697
naca2412,32909.573936771536,-11.0,-0.297,0.12932,0.11993,-0.0107,1.0,0.4234
naca2412,32909.573936771536,-7.0,-0.2692,0.08339,0.0734,0.0061,1.0,0.7291
naca2412,32909.573936771536,-5.0,-0.4903,0.04457,0.03431,-0.0228,1.0,0.3074
naca2412,32909.573936771536,-4.0,-0.4182,0.03554,0.0246,-0.0191,1.0,0.3863
naca2412,32909.573936771536,-1.0,-0.115,0.0261,0.0143,-0.0163,1.0,1.0
naca2412,32909.573936771536,0.0,-0.0555,0.02786,0.0152,-0.0138,1.0,1.0
naca2412,32909.573936771536,1.0,0.0082,0.0307,0.01749,-0.0131,1.0,1.0
naca2412,32909.573936771536,2.0,0.0717,0.03454,0.021,-0.0137,1.0,1.0
naca2412,32909.573936771536,3.0,0.1389,0.03952,0.02585,-0.0163,0.9971,1.0
naca2412,32909.573936771536,4.0,0.3125,0.04843,0.03495,-0.038,0.9149,1.0
naca2412,32909.573936771536,5.0,0.4363,0.05628,0.04318,-0.0482,0.8345,1.0
naca2412,32909.573936771536,6.0,0.5561,0.06424,0.05171,-0.0546,0.7457,1.0
naca2412,32909.573936771536,7.0,0.6288,0.07261,0.06065,-0.0537,0.6533,1.0
naca2412,32909.573936771536,8.0,0.7132,0.08059,0.06933,-0.0501,0.5444,1.0
naca2412,32909.573936771536,11.0,0.7235,0.13042,0.11988,-0.0513,0.3968,1.0
naca2412,32909.573936771536,13.0,0.7094,0.16718,0.15682,-0.0662,0.4548,1.0
naca2412,32909.573936771536,14.0,0.7387,0.18194,0.1717,-0.0691,0.4136,1.0
naca2412,32909.573936771536,15.0,0.7705,0.19599,0.18584,-0.0725,0.373,1.0
naca2412,32909.573936771536,16.0,0.815,0.21411,0.20411,-0.0763,0.3377,1.0
naca2412,32909.573936771536,17.0,0.8447,0.22727,0.21731,-0.0811,0.3064,1.0
naca2412,32909.573936771536,18.0,0.8658,0.23619,0.22625,-0.0875,0.2788,1.0
naca2412,32909.573936771536,19.0,0.897,0.24882,0.23891,-0.094,0.2546,1.0
naca2412,32909.573936771536,21.0,0.9663,0.27617,0.26642,-0.1076,0.2118,1.0
naca2412,32909.573936771536,22.0,0.9945,0.28551,0.27581,-0.1162,0.1924,1.0
naca2412,32909.573936771536,23.0,1.0265,0.29729,0.28767,-0.1245,0.1764,1.0
naca2412,32909.573936771536,24.0,1.0582,0.30885,0.29932,-0.1331,0.1612,1.0
naca2412,32909.573936771536,25.0,1.0894,0.32059,0.31115,-0.142,0.1494,1.0
naca2412,32909.573936771536,26.0,1.1211,0.33334,0.324,-0.1508,0.1377,1.0
naca2412,32909.573936771536,27.0,1.1579,0.35485,0.34568,-0.1576,0.1258,1.0
naca2412,32909.573936771536,28.0,1.1784,0.35314,0.34403,-0.1705,0.1163,1.0
naca2412,32909.573936771536,29.0,1.2059,0.36394,0.35495,-0.1806,0.1094,1.0
naca2412,32909.573936771536,30.0,1.2356,0.37922,0.37044,-0.1889,0.1001,1.0
naca2412,33680.03320532442,-19.0,-0.4249,0.20192,0.19269,0.0029,1.0,0.186
naca2412,33680.03320532442,-18.0,-0.4059,0.1924,0.18311,-0.0007,1.0,0.2041
naca2412,33680.03320532442,-17.0,-0.3884,0.18349,0.17415,-0.0039,1.0,0.2233
naca2412,33680.03320532442,-16.0,-0.3831,0.17878,0.1694,-0.0068,1.0,0.2456
naca2412,33680.03320532442,-15.0,-0.3567,0.16636,0.15697,-0.009,1.0,0.2697
naca2412,33680.03320532442,-11.0,-0.297,0.12932,0.11993,-0.0107,1.0,0.4234
naca2412,33680.03320532442,-7.0,-0.2692,0.08339,0.0734,0.0061,1.0,0.7291
naca2412,33680.03320532442,-5.0,-0.4903,0.04457,0.03431,-0.0228,1.0,0.3074
naca2412,33680.03320532442,-4.0,-0.4182,0.03554,0.0246,-0.0191,1.0,0.3863
naca2412,33680.03320532442,-1.0,-0.115,0.0261,0.0143,-0.0163,1.0,1.0
naca2412,33680.03320532442,0.0,-0.0555,0.02786,0.0152,-0.0138,1.0,1.0
naca2412,33680.03320532442,1.0,0.0082,0.0307,0.01749,-0.0131,1.0,1.0
naca2412,33680.03320532442,2.0,0.0717,0.03454,0.021,-0.0137,1.0,1.0
naca2412,33680.03320532442,3.0,0.1389,0.03952,0.02585,-0.0163,0.9971,1.0
naca2412,33680.03320532442,4.0,0.3125,0.04843,0.03495,-0.038,0.9149,1.0
naca2412,33680.03320532442,5.0,0.4363,0.05628,0.04318,-0.0482,0.8345,1.0
naca2412,33680.03320532442,6.0,0.5561,0.06424,0.05171,-0.0546,0.7457,1.0
naca2412,33680.03320532442,7.0,0.6288,0.07261,0.06065,-0.0537,0.6533,1.0
naca2412,33680.03320532442,8.0,0.7132,0.08059,0.06933,-0.0501,0.5444,1.0
naca2412,33680.03320532442,11.0,0.7235,0.13042,0.11988,-0.0513,0.3968,1.0
naca2412,33680.03320532442,13.0,0.7094,0.16718,0.15682,-0.0662,0.4548,1.0
naca2412,33680.03320532442,14.0,0.7387,0.18194,0.1717,-0.0691,0.4136,1.0
naca2412,33680.03320532442,15.0,0.7705,0.19599,0.18584,-0.0725,0.373,1.0
naca2412,33680.03320532442,16.0,0.815,0.21411,0.20411,-0.0763,0.3377,1.0
naca2412,33680.03320532442,17.0,0.8447,0.22727,0.21731,-0.0811,0.3064,1.0
naca2412,33680.03320532442,18.0,0.8658,0.23619,0.22625,-0.0875,0.2788,1.0
naca2412,33680.03320532442,19.0,0.897,0.24882,0.23891,-0.094,0.2546,1.0
naca2412,33680.03320532442,21.0,0.9663,0.27617,0.26642,-0.1076,0.2118,1.0
naca2412,33680.03320532442,22.0,0.9945,0.28551,0.27581,-0.1162,0.1924,1.0
naca2412,33680.03320532442,23.0,1.0265,0.29729,0.28767,-0.1245,0.1764,1.0
naca2412,33680.03320532442,24.0,1.0582,0.30885,0.29932,-0.1331,0.1612,1.0
naca2412,33680.03320532442,25.0,1.0894,0.32059,0.31115,-0.142,0.1494,1.0
naca2412,33680.03320532442,26.0,1.1211,0.33334,0.324,-0.1508,0.1377,1.0
naca2412,33680.03320532442,27.0,1.1579,0.35485,0.34568,-0.1576,0.1258,1.0
naca2412,33680.03320532442,28.0,1.1784,0.35314,0.34403,-0.1705,0.1163,1.0
naca2412,33680.03320532442,29.0,1.2059,0.36394,0.35495,-0.1806,0.1094,1.0
naca2412,33680.03320532442,30.0,1.2356,0.37922,0.37044,-0.1889,0.1001,1.0
naca2412,34468.53000561927,-19.0,-0.4249,0.20192,0.19269,0.0029,1.0,0.186
naca2412,34468.53000561927,-18.0,-0.4059,0.1924,0.18311,-0.0007,1.0,0.2041
naca2412,34468.53000561927,-17.0,-0.3884,0.18349,0.17415,-0.0039,1.0,0.2233
naca2412,34468.53000561927,-16.0,-0.3831,0.17878,0.1694,-0.0068,1.0,0.2456
naca2412,34468.53000561927,-15.0,-0.3567,0.16636,0.15697,-0.009,1.0,0.2697
naca2412,34468.53000561927,-11.0,-0.297,0.12932,0.11993,-0.0107,1.0,0.4234
naca2412,34468.53000561927,-7.0,-0.2692,0.08339,0.0734,0.0061,1.0,0.7291
naca2412,34468.53000561927,-5.0,-0.4903,0.04457,0.03431,-0.0228,1.0,0.3074
naca2412,34468.53000561927,-4.0,-0.4182,0.03554,0.0246,-0.0191,1.0,0.3863
naca2412,34468.53000561927,-1.0,-0.115,0.0261,0.0143,-0.0163,1.0,1.0
naca2412,34468.53000561927,0.0,-0.0555,0.02786,0.0152,-0.0138,1.0,1.0
naca2412,34468.53000561927,1.0,0.0082,0.0307,0.01749,-0.0131,1.0,1.0
naca2412,34468.53000561927,2.0,0.0717,0.03454,0.021,-0.0137,1.0,1.0
naca2412,34468.53000561927,3.0,0.1389,0.03952,0.02585,-0.0163,0.9971,1.0
naca2412,34468.53000561927,4.0,0.3125,0.04843,0.03495,-0.038,0.9149,1.0
naca2412,34468.53000561927,5.0,0.4363,0.05628,0.04318,-0.0482,0.8345,1.0
naca2412,34468.53000561927,6.0,0.5561,0.06424,0.05171,-0.0546,0.7457,1.0
naca2412,34468.53000561927,7.0,0.6288,0.07261,0.06065,-0.0537,0.6533,1.0
naca2412,34468.53000561927,8.0,0.7132,0.08059,0.06933,-0.0501,0.5444,1.0
naca2412,34468.53000561927,11.0,0.7235,0.13042,0.11988,-0.0513,0.3968,1.0
naca2412,34468.53000561927,13.0,0.7094,0.16718,0.15682,-0.0662,0.4548,1.0
naca2412,34468.53000561927,14.0,0.7387,0.18194,0.1717,-0.0691,0.4136,1.0
naca2412,34468.53000561927,15.0,0.7705,0.19599,0.18584,-0.0725,0.373,1.0
naca2412,34468.53000561927,16.0,0.815,0.21411,0.20411,-0.0763,0.3377,1.0
naca2412,34468.53000561927,17.0,0.8447,0.22727,0.21731,-0.0811,0.3064,1.0
naca2412,34468.53000561927,18.0,0.8658,0.23619,0.22625,-0.0875,0.2788,1.0
naca2412,34468.53000561927,19.0,0.897,0.24882,0.23891,-0.094,0.2546,1.0
naca2412,34468.53000561927,21.0,0.9663,0.27617,0.26642,-0.1076,0.2118,1.0
naca2412,34468.53000561927,22.0,0.9945,0.28551,0.27581,-0.1162,0.1924,1.0
naca2412,34468.53000561927,23.0,1.0265,0.29729,0.28767,-0.1245,0.1764,1.0
naca2412,34468.53000561927,24.0,1.0582,0.30885,0.29932,-0.1331,0.1612,1.0
naca2412,34468.53000561927,25.0,1.0894,0.32059,0.31115,-0.142,0.1494,1.0
naca2412,34468.53000561927,26.0,1.1211,0.33334,0.324,-0.1508,0.1377,1.0
naca2412,34468.53000561927,27.0,1.1579,0.35485,0.34568,-0.1576,0.1258,1.0
naca2412,34468.53000561927,28.0,1.1784,0.35314,0.34403,-0.1705,0.1163,1.0
naca2412,34468.53000561927,29.0,1.2059,0.36394,0.35495,-0.1806,0.1094,1.0
naca2412,34468.53000561927,30.0,1.2356,0.37922,0.37044,-0.1889,0.1001,1.0
naca2412,35275.48662156468,-19.0,-0.4249,0.20192,0.19269,0.0029,1.0,0.186
naca2412,35275.48662156468,-18.0,-0.4059,0.1924,0.18311,-0.0007,1.0,0.2041
naca2412,35275.48662156468,-17.0,-0.3884,0.18349,0.17415,-0.0039,1.0,0.2233
naca2412,35275.48662156468,-16.0,-0.3831,0.17878,0.1694,-0.0068,1.0,0.2456
naca2412,35275.48662156468,-15.0,-0.3567,0.16636,0.15697,-0.009,1.0,0.2697
naca2412,35275.48662156468,-11.0,-0.297,0.12932,0.11993,-0.0107,1.0,0.4234
naca2412,35275.48662156468,-7.0,-0.2692,0.08339,0.0734,0.0061,1.0,0.7291
naca2412,35275.48662156468,-5.0,-0.4903,0.04457,0.03431,-0.0228,1.0,0.3074
naca2412,35275.48662156468,-4.0,-0.4182,0.03554,0.0246,-0.0191,1.0,0.3863
naca2412,35275.48662156468,-1.0,-0.115,0.0261,0.0143,-0.0163,1.0,1.0
naca2412,35275.48662156468,0.0,-0.0555,0.02786,0.0152,-0.0138,1.0,1.0
naca2412,35275.48662156468,1.0,0.0082,0.0307,0.01749,-0.0131,1.0,1.0
naca2412,35275.48662156468,2.0,0.0717,0.03454,0.021,-0.0137,1.0,1.0
naca2412,35275.48662156468,3.0,0.1389,0.03952,0.02585,-0.0163,0.9971,1.0
naca2412,35275.48662156468,4.0,0.3125,0.04843,0.03495,-0.038,0.9149,1.0
naca2412,35275.48662156468,5.0,0.4363,0.05628,0.04318,-0.0482,0.8345,1.0
naca2412,35275.48662156468,6.0,0.5561,0.06424,0.05171,-0.0546,0.7457,1.0
naca2412,35275.48662156468,7.0,0.6288,0.07261,0.06065,-0.0537,0.6533,1.0
naca2412,35275.48662156468,8.0,0.7132,0.08059,0.06933,-0.0501,0.5444,1.0
naca2412,35275.48662156468,11.0,0.7235,0.13042,0.11988,-0.0513,0.3968,1.0
naca2412,35275.48662156468,13.0,0.7094,0.16718,0.15682,-0.0662,0.4548,1.0
naca2412,35275.48662156468,14.0,0.7387,0.18194,0.1717,-0.0691,0.4136,1.0
naca2412,35275.48662156468,15.0,0.7705,0.19599,0.18584,-0.0725,0.373,1.0
naca2412,35275.48662156468,16.0,0.815,0.21411,0.20411,-0.0763,0.3377,1.0
naca2412,35275.48662156468,17.0,0.8447,0.22727,0.21731,-0.0811,0.3064,1.0
naca2412,35275.48662156468,18.0,0.8658,0.23619,0.22625,-0.0875,0.2788,1.0
naca2412,35275.48662156468,19.0,0.897,0.24882,0.23891,-0.094,0.2546,1.0
naca2412,35275.48662156468,21.0,0.9663,0.27617,0.26642,-0.1076,0.2118,1.0
naca2412,35275.48662156468,22.0,0.9945,0.28551,0.27581,-0.1162,0.1924,1.0
naca2412,35275.48662156468,23.0,1.0265,0.29729,0.28767,-0.1245,0.1764,1.0
naca2412,35275.48662156468,24.0,1.0582,0.30885,0.29932,-0.1331,0.1612,1.0
naca2412,35275.48662156468,25.0,1.0894,0.32059,0.31115,-0.142,0.1494,1.0
naca2412,35275.48662156468,26.0,1.1211,0.33334,0.324,-0.1508,0.1377,1.0
naca2412,35275.48662156468,27.0,1.1579,0.35485,0.34568,-0.1576,0.1258,1.0
naca2412,35275.48662156468,28.0,1.1784,0.35314,0.34403,-0.1705,0.1163,1.0
naca2412,35275.48662156468,29.0,1.2059,0.36394,0.35495,-0.1806,0.1094,1.0
naca2412,35275.48662156468,30.0,1.2356,0.37922,0.37044,-0.1889,0.1001,1.0
